implementation,n_features,n_samples,seed,accuracy,train_time,test_time
OurRandomForest,90,100,0,0.5666666666666667,32.42485022544861,0.003069639205932617
OurRandomForest,90,100,1,0.5333333333333333,33.689199447631836,0.003012418746948242
OurRandomForest,90,100,2,0.5666666666666667,33.43040418624878,0.0030133724212646484
OurRandomForest,90,100,3,0.5,31.599947929382324,0.0029506683349609375
OurRandomForest,90,100,4,0.6666666666666666,32.089091062545776,0.0029249191284179688
RandomForestClassifier,90,100,0,0.5333333333333333,0.23585176467895508,0.004073619842529297
RandomForestClassifier,90,100,1,0.5666666666666667,0.237959623336792,0.00411224365234375
RandomForestClassifier,90,100,2,0.6666666666666666,0.2387855052947998,0.0041179656982421875
RandomForestClassifier,90,100,3,0.4,0.23785924911499023,0.0040776729583740234
RandomForestClassifier,90,100,4,0.6666666666666666,0.23101520538330078,0.004166841506958008
OurRandomForest,80,100,0,0.7,30.732797384262085,0.0030477046966552734
OurRandomForest,80,100,1,0.5666666666666667,30.329787015914917,0.003009319305419922
OurRandomForest,80,100,2,0.43333333333333335,30.00123167037964,0.002993345260620117
OurRandomForest,80,100,3,0.5666666666666667,29.32091212272644,0.002974987030029297
OurRandomForest,80,100,4,0.6666666666666666,31.811532735824585,0.003147602081298828
RandomForestClassifier,80,100,0,0.7666666666666667,0.22801446914672852,0.004060506820678711
RandomForestClassifier,80,100,1,0.7333333333333333,0.22809767723083496,0.0041773319244384766
RandomForestClassifier,80,100,2,0.5333333333333333,0.22454047203063965,0.004061460494995117
RandomForestClassifier,80,100,3,0.6,0.21967554092407227,0.004121303558349609
RandomForestClassifier,80,100,4,0.5666666666666667,0.23030900955200195,0.004117488861083984
OurRandomForest,70,100,0,0.7,27.100234508514404,0.003038167953491211
OurRandomForest,70,100,1,0.6666666666666666,27.066199779510498,0.003072500228881836
OurRandomForest,70,100,2,0.6666666666666666,27.431532859802246,0.0030469894409179688
OurRandomForest,70,100,3,0.5666666666666667,24.690081357955933,0.0029397010803222656
OurRandomForest,70,100,4,0.5666666666666667,25.856022834777832,0.003000974655151367
RandomForestClassifier,70,100,0,0.5333333333333333,0.21110129356384277,0.004086017608642578
RandomForestClassifier,70,100,1,0.6333333333333333,0.21126794815063477,0.004104137420654297
RandomForestClassifier,70,100,2,0.7,0.20896601676940918,0.00410914421081543
RandomForestClassifier,70,100,3,0.5666666666666667,0.20520973205566406,0.00417780876159668
RandomForestClassifier,70,100,4,0.4,0.203749418258667,0.004164934158325195
OurRandomForest,60,100,0,0.7,24.544273138046265,0.0030891895294189453
OurRandomForest,60,100,1,0.7333333333333333,24.139774322509766,0.0030858516693115234
OurRandomForest,60,100,2,0.7666666666666667,23.775575399398804,0.0030601024627685547
OurRandomForest,60,100,3,0.7666666666666667,26.02259635925293,0.0032205581665039062
OurRandomForest,60,100,4,0.5666666666666667,23.444536209106445,0.0030333995819091797
RandomForestClassifier,60,100,0,0.6666666666666666,0.20116567611694336,0.00406336784362793
RandomForestClassifier,60,100,1,0.7333333333333333,0.20122241973876953,0.004071235656738281
RandomForestClassifier,60,100,2,0.7,0.1984415054321289,0.0041005611419677734
RandomForestClassifier,60,100,3,0.8333333333333334,0.20007586479187012,0.004119157791137695
RandomForestClassifier,60,100,4,0.6333333333333333,0.19808340072631836,0.00408935546875
OurRandomForest,50,100,0,0.5666666666666667,17.443941831588745,0.002915620803833008
OurRandomForest,50,100,1,0.7333333333333333,19.39574956893921,0.003016948699951172
OurRandomForest,50,100,2,0.5666666666666667,19.04908013343811,0.003002643585205078
OurRandomForest,50,100,3,0.8,20.40298295021057,0.003119230270385742
OurRandomForest,50,100,4,0.7,19.294759511947632,0.0034279823303222656
RandomForestClassifier,50,100,0,0.7,0.16823673248291016,0.0041120052337646484
RandomForestClassifier,50,100,1,0.6,0.173356294631958,0.004117727279663086
RandomForestClassifier,50,100,2,0.6333333333333333,0.17139506340026855,0.004072666168212891
RandomForestClassifier,50,100,3,0.8333333333333334,0.17838120460510254,0.004116058349609375
RandomForestClassifier,50,100,4,0.7333333333333333,0.17431902885437012,0.004038810729980469
