implementation,n_features,n_samples,seed,accuracy,train_time,test_time
FastRandomForest,900,100,0,0.6,26.228924989700317,0.002651691436767578
FastRandomForest,900,100,1,0.4666666666666667,26.02316451072693,0.0026497840881347656
FastRandomForest,900,100,2,0.5,26.72583246231079,0.0026297569274902344
FastRandomForest,900,100,3,0.43333333333333335,25.322503566741943,0.0027124881744384766
FastRandomForest,900,100,4,0.6,25.34807014465332,0.002621173858642578
RandomForestClassifier,900,100,0,0.5666666666666667,0.9732105731964111,0.004273176193237305
RandomForestClassifier,900,100,1,0.43333333333333335,0.9681844711303711,0.004151821136474609
RandomForestClassifier,900,100,2,0.43333333333333335,0.9652655124664307,0.0041921138763427734
RandomForestClassifier,900,100,3,0.43333333333333335,0.9600739479064941,0.0041463375091552734
RandomForestClassifier,900,100,4,0.5666666666666667,0.9462506771087646,0.004172325134277344
FastRandomForest,800,100,0,0.5,22.08960485458374,0.002567768096923828
FastRandomForest,800,100,1,0.5666666666666667,22.846027135849,0.002635955810546875
FastRandomForest,800,100,2,0.6,22.555135250091553,0.0028886795043945312
FastRandomForest,800,100,3,0.5333333333333333,24.30125641822815,0.002686023712158203
FastRandomForest,800,100,4,0.4666666666666667,24.277543544769287,0.002606630325317383
RandomForestClassifier,800,100,0,0.5333333333333333,0.8388965129852295,0.00427556037902832
RandomForestClassifier,800,100,1,0.5666666666666667,0.8832581043243408,0.0041849613189697266
RandomForestClassifier,800,100,2,0.6333333333333333,0.8321897983551025,0.004239797592163086
RandomForestClassifier,800,100,3,0.5333333333333333,0.8765790462493896,0.004290580749511719
RandomForestClassifier,800,100,4,0.4666666666666667,0.8619256019592285,0.0042536258697509766
FastRandomForest,700,100,0,0.5333333333333333,20.5002384185791,0.0026290416717529297
FastRandomForest,700,100,1,0.36666666666666664,20.937304973602295,0.002778291702270508
FastRandomForest,700,100,2,0.43333333333333335,20.932316303253174,0.0025959014892578125
FastRandomForest,700,100,3,0.6,21.01143741607666,0.0026640892028808594
FastRandomForest,700,100,4,0.43333333333333335,20.68822479248047,0.002619504928588867
