implementation,n_features,n_samples,seed,accuracy,train_time,test_time
OurFastRandomForest,20,3900,0,0.9282051282051282,8.94194483757019,0.2870361804962158
FastRandomForest,20,3900,0,0.9094017094017094,3.0451011657714844,0.28494787216186523
RandomForestClassifier,20,3900,0,0.9162393162393162,0.5543763637542725,0.041960954666137695
OurFastRandomForest,20,2100,0,0.9047619047619048,5.893942594528198,0.14624619483947754
FastRandomForest,20,2100,0,0.8984126984126984,1.9955589771270752,0.14259552955627441
RandomForestClassifier,20,2100,0,0.9095238095238095,0.35553908348083496,0.04208040237426758
OurFastRandomForest,20,3600,0,0.8962962962962963,8.448264598846436,0.27541637420654297
FastRandomForest,20,3600,0,0.8722222222222222,2.8598055839538574,0.259244441986084
RandomForestClassifier,20,3600,0,0.8833333333333333,0.5160555839538574,0.031790971755981445
OurFastRandomForest,20,2400,0,0.9263888888888889,6.8991169929504395,0.16748404502868652
FastRandomForest,20,2400,0,0.9152777777777777,2.224423885345459,0.16349315643310547
RandomForestClassifier,20,2400,0,0.9138888888888889,0.3842897415161133,0.049046993255615234
OurFastRandomForest,20,3900,0,0.9435897435897436,6.929676532745361,0.2804427146911621
FastRandomForest,20,3900,0,0.9444444444444444,2.817187786102295,0.27289462089538574
RandomForestClassifier,20,3900,0,0.9427350427350427,0.5921311378479004,0.03308415412902832
OurFastRandomForest,20,2100,0,0.9158730158730158,6.602506637573242,0.14826202392578125
FastRandomForest,20,2100,0,0.9047619047619048,1.8885457515716553,0.139573335647583
RandomForestClassifier,20,2100,0,0.9063492063492063,0.35058021545410156,0.031015396118164062
OurFastRandomForest,20,3100,0,0.9182795698924732,7.51224160194397,0.2551116943359375
FastRandomForest,20,3100,0,0.9172043010752688,3.057107448577881,0.23195099830627441
RandomForestClassifier,20,3100,0,0.9182795698924732,0.5181818008422852,0.043227434158325195
OurFastRandomForest,20,2100,0,0.9111111111111111,6.617839336395264,0.14609861373901367
FastRandomForest,20,2100,0,0.9142857142857143,1.998335361480713,0.14327025413513184
RandomForestClassifier,20,2100,0,0.9142857142857143,0.36262059211730957,0.04234027862548828
OurFastRandomForest,20,2800,0,0.9107142857142857,7.381184339523315,0.20259523391723633
FastRandomForest,20,2800,0,0.8892857142857142,2.3316006660461426,0.19304752349853516
RandomForestClassifier,20,2800,0,0.888095238095238,0.42788028717041016,0.04189920425415039
OurFastRandomForest,20,2200,0,0.9242424242424242,5.79841685295105,0.158735990524292
FastRandomForest,20,2200,0,0.9121212121212121,1.8875319957733154,0.15469598770141602
RandomForestClassifier,20,2200,0,0.9075757575757576,0.3584330081939697,0.0416560173034668
OurFastRandomForest,20,4000,0,0.9325,8.024372577667236,0.2926621437072754
FastRandomForest,20,4000,0,0.9291666666666667,3.070373058319092,0.2904045581817627
RandomForestClassifier,20,4000,0,0.9375,0.5714716911315918,0.04155158996582031
OurFastRandomForest,20,4000,0,0.9308333333333333,8.38476276397705,0.298464298248291
FastRandomForest,20,4000,0,0.92,3.032670497894287,0.2830080986022949
RandomForestClassifier,20,4000,0,0.9141666666666667,0.5735423564910889,0.04216957092285156
OurFastRandomForest,20,3800,0,0.9429824561403509,7.852526903152466,0.2741727828979492
FastRandomForest,20,3800,0,0.9324561403508772,3.012489080429077,0.27709174156188965
RandomForestClassifier,20,3800,0,0.9342105263157895,0.5509793758392334,0.03339576721191406
